,jgebbia,georgesoros,historydefined,neuralink,beeple,Grimezsz,thesheetztweetz,elonmusk
268,https://t.co/d4GnhtyBwa,Virtual reality can help in combating the myths and misinformation about HIV testing to ensure people get the treat… https://t.co/wZqn4lhcF0,"RT @historydefined: This 9000-year-old stone mask is the oldest mask in the world, and was found in the Judean Desert in Israel https://t.c…",,@CryptoPervs @Coinbase_NFT HAHAHHAHAHAHAHA this is great. LOL. 👍👍👍,@mayemusk 🔥,"Limp: The Kuiper “satellites are bigger than potentially other [low Earth orbit] constellations that might now of,”… https://t.co/U4ZBELY6lN",
269,https://t.co/L27tHrQpPa,Revoking citizenship as a form of punishment is wrong and undermines the rule of law. https://t.co/0t6TUs5dA0,This 'colossus' sculpture was created by Italian sculptor Giambologna in the late 1500s as a symbol of Italy's Apen… https://t.co/KPRk3cDwUg,,@Coinbase_NFT will let you know on NYE. 🤜🤛,"This is pretty cool, this is the second Dao I’ve joined https://t.co/2hPCsahXiQ","Limp: $AMZN Kuiper team “had an epiphany” in designing the customer equipment (i.e., terminal) and have been “able… https://t.co/GooZGMS4EL",
270,https://t.co/MyccpjB95r,Art and culture can be a crucial to strengthening rights and equality. https://t.co/Fmvzgurmrm,"A young soldier of the Austro-Hungarian Army standing on the Bridge of Sighs, a bridge connecting tunnels inside th… https://t.co/QZ6yv0SB2K",,EVERYTHING https://t.co/HrHzQry41Z,RT @Liv_Boeree: The problem with raging against the machine is that the machine has learned to feed off rage,"Starting a panel moderated by @QuiltyAnalytics’ @CHenry_QA, with:

Amazon SVP Dave Limp
Blue Origin CEO Bob Smith
A… https://t.co/HFCzeyduwi",
271,NYC strolls from the last week. What’s the hidden gem I need to check out? https://t.co/wZBpZ2lsQX,A group of volunteer lawyers in Nigeria are delivering free legal aid to detainees to prevent unnecessary detention. https://t.co/TMfCaAUGH1,"Two childhood friends meet during a protest. One is a factory worker, the other is a riot officer. https://t.co/eXPLZZvrKp",,"interview with @HYPEBEAST about the metaverse. 🗣🗣🗣

TLDR; we already took the red pill but it’s slow release so it’… https://t.co/inWChCmQSu",@ELDENRING 🥺 could we plz have more testing hours haha 🧚🏻‍♀️🧚🏻‍♀️🗡🗡🐉🐉,"Good morning from #SpaceSymposium in Colorado, where the company leaders of today’s monster rocket deal are hosting… https://t.co/gcVQaaLOhV",
272,Where legends filmed a legend. https://t.co/uRZ9imMEkd,"In the first ruling to find the U.S. lethal drone program unlawful, a German court demands greater scrutiny of the… https://t.co/IG9WEJOTVd","Discovering an approximately 3500-year-old burial mask from the tomb of Djehuty, Karnak, Egypt in 2004. https://t.co/H2KEaVKY0U",,SEVEN TRILLIONTH BARREL https://t.co/RVQNhovohh,@ELDENRING Is it possible to have more time in the world plz ?,"The mission is also aptly named, given Rocket Lab's Kiwi roots: “There and Back Again” https://t.co/3YQpa05UPD",
273,@BoyanSlat wtf,A theater in Kosovo is not afraid of using art to confront entrenched prejudices and to build empathy. https://t.co/tt6ZGuzlwB,RT @historydefined: The original patent from 1891 for a toilet paper roll actually shows the correct rolling direction. https://t.co/WMR4i3…,,"yep…

https://t.co/mQhvBm5BQa https://t.co/KU65uz4usM",@ConstitutionDAO This is literally so cool,"Rocket Lab's next Electron launch, scheduled for April, will be the company's first attempt to recover a rocket in… https://t.co/dG8fosyigA",
274,"Another greatest hit worth watching by @AdamMGrant   
https://t.co/lZZgN17EHF via @TEDTalks",While Nigeria's democracy faces an uncertain future after an election last month marred by violence and controversy… https://t.co/fKPITLVNPE,RT @historydefined: Marble hands with stunning detail. https://t.co/HB8Gw52tuX,,BLUE PERIOD https://t.co/EwCS3tkm77,@DaveRapoza 🔥,"It's also notable that even though Blue Origin won the lowest number of guaranteed launch contracts, this marks a b… https://t.co/RhIhe2xvRE",
275,My interview with TIME is live: https://t.co/gcQ6pNT3kk,A group of lawyers helps to make the rule of law accessible to marginalized communities in a place where government… https://t.co/Bm84BEn8zn,"Ring with an inscription to Hera. Greece, about 575 BCE https://t.co/CSaCTOOtBJ",,@SusanIsland @WIRED @seedphrase Ah no it is BEYOND surreal being on other side of the world and just randomly seein… https://t.co/iMucWrtwoZ,@SecretsOfDune 🤍,"Amazon did not disclose the total value of the contracts, and each of three launch companies declined to specify th… https://t.co/7SE35EbPMP",
276,@AaliyahJay True,"“Open society can prevail only when people can speak truth to power.” - George Soros, “The Soros Lectures” https://t.co/mNJYxS2tFc",Give us a follow on Instagram! https://t.co/9r4kaTxyN6,,"WTFFF, Just happened to see this in our hotel gift shop…. Middle East version of @WIRED 😱😱😱

has a great interview… https://t.co/Tpgfo662K3","RT @Telegraph: 🧠A vaccine against Alzheimer’s disease could be on the horizon after scientists carried out successful trials in animals.

R…","Here's how Amazon's Kuiper contracts break out:

ULA's Vulcan - 38 launches

ULA's Atlas V - 9 launches

Arianespac… https://t.co/wSuWeBv2lj",
277,Getting the word out on NBC on ways you can help! Visit https://t.co/9ZTz1HFgqN for more. https://t.co/ttX9KGNBLd,The Open Society Foundations began its work in Greece over five years ago with a focus on helping people most impac… https://t.co/EyCZvdO4rg,"The smoky ruins of San Francisco, still hot with smoldering rubble, following the devastating earthquake on the 18t… https://t.co/f0Y6fWsFDa",,WEB2 https://t.co/lhco8Uwzwv,@carolineplz I eyeballed it when I saw u standing next to objects and u seemed taller than the objects,"Breaking - Amazon $AMZN signed the biggest rocket deal in the commercial space industry's history, for up to 83 lau… https://t.co/0woyzX6CGJ",
278,"Join the movement to host a family. We could use your help #AfghanistanCrisis 
https://t.co/R3VFXX8kgH",The U.S. has acquiesced in the destruction of an anticorruption institution that has sought to improve Guatemala. https://t.co/TWGLZlbBxo,"RT @historydefined: Amazing colors and symmetry of Sri Ranganathswamy Temple, India https://t.co/WaufUfOjAl",,A VERY META CHRISTMAS TO YOU AND YOURS! 🎄 https://t.co/PKYA74mcza,Just got done w the Elden ring preview/ network test and this is gna be game of the year ! @ELDENRING 🗡🗡🗡🗡🗡 https://t.co/5Xt9eChZ0n,"""For the first time, cyber Airmen used satellite and cellular internet capabilities to connect an F-35 Lightning II… https://t.co/WJolsOQchC",
279,"Thank you to all of the incredible Hosts for opening their homes to make it possible to house 20,000 Afghan refugees https://t.co/VXbyRC76Hw","Now that the issue of the country's name has been settled, a new report looks at the Republic of North Macedonia's… https://t.co/KIEiZGU195",1931 Manhatten https://t.co/WOegL0AjMD,,DUBAI https://t.co/RlawJbveBM,@carolineplz Not sure this is true,The U.S. Air Force's 388th Fighter Wing tested SpaceX's Starlink last month in Utah as a communications option for… https://t.co/eOq4WkNCVX,
280,So much respect for @Malala. 3 min read about her near death experience standing up for the basic right for girls t… https://t.co/rguYLGNv45,Strong support of Armenia's civil society is vital to the country's democratic present and future. https://t.co/iBRZ2ZquKN,"Christmas day in Vukovar, Croatian War, 1992 https://t.co/jUABFHymgP",,NEW WORLD https://t.co/QLiHpRJV9V,Season 5 Anthem for @RocketLeague !!! @ILLANGELO 🏎🚀 https://t.co/KKsEC6JprK,U.S. Space Force Brig. Gen. Stephen Purdy recently visited SpaceX’s Starbase facility in Texas and is watching Star… https://t.co/Ak7tydDYMf,
281,Hypebeast cover https://t.co/LrqbsfbQsg for our work housing people in times of crisis.  https://t.co/caDmVwCC66,The U.S. has acquiesced in the destruction of an anticorruption institution that has sought to improve Guatemala. https://t.co/mJL97JTfYi,One of the oldest known depictions of an animal anywhere in the World is on the Indonesian island of Sulawesi. This… https://t.co/22L23g2yuv,,OFFERING https://t.co/US1MTVwwjL,@HIDEO_KOJIMA_EN The long slow passage of time that inevitably drags us to death but where would be without it?,NASA postponing the SLS wet dress rehearsal again: https://t.co/RRJp9pzEmJ,
282,A dating app for the discontent: Grumble https://t.co/YIUS5OUhnm,Instruments of control developed by artificial intelligence are giving authoritarian regimes an inherent advantage… https://t.co/1qQYGFiABf,"RT @historydefined: A man takes a selfie using a stick of wood to activate the camera, 1957 https://t.co/ZmsYFCr1BK",,WEB5 https://t.co/1ZJkXDkv96,@chrislake @Spotify @AppleMusic @pandoramusic @TIDAL What!  Siquê,RT @NASAGroundSys: The countdown clock has now resumed at T-6:40 and counting. Teams are beginning cryo prep activities. Coming up we have…,
283,Utah ftw https://t.co/akxLgDjw8A,Prejudice and fear have stymied good public health policies like harm reduction services for far too long. https://t.co/qCVNI52pbx,A cup of tea and a bit of peace back in the 1800s. https://t.co/GlhK8TX2hh,,👀👀👀 https://t.co/skbEViVjtM,"Beta version @chrislake @nusi_quero 

https://t.co/Su5P2ORkOU https://t.co/qYsh20YnJL",RT @SpaceflightNow: The SLS countdown clocks remains in an extended hold. The timeline is now running more than three hours behind schedule…,
284,Then let’s turn our attention to helping those in need. One way to give: https://t.co/qWcOBUJzgt,A new report seeks to take a CIA contractor involved in torture flights to account. https://t.co/3z0XEFkQbl,"Paper doll. Japan, Meiji period, 1897-98 https://t.co/B35SLGxGxc",,VANILLA ICE CREAM https://t.co/Op9oi7KOyv,"New girl group by grimes.  NPC 

https://t.co/Su5P2ORkOU https://t.co/i8U6lG7WiE","A two day schedule slip for SpaceX launching Axiom's Ax-1 mission, from April 6 to April 8 (Friday):
https://t.co/wCZF5bZhkR",
285,Let’s not forget this tiny detail. https://t.co/jVKzaIhR3T https://t.co/U2po1CMVjo,"Opposition to the destructive and counterproductive ""War on Drugs"" has made great strides. https://t.co/I5q5u2mAfA","Solar System quilt by Ellen Harding Baker, begun in 1869 and completed in 1876 to teach women astronomy. https://t.co/j1KHjUllDm",,GENESIS ICE CUBE https://t.co/5zOeuiw4y1,@taylorswift13 Red top ten albums in history abt to get even better,But he does own Twitter stock! https://t.co/4zYRdcnubO,
286,"“Be happy for this moment. This moment is your life.”
-Omar Khayyam 

(Persian mathematician, astronomer, philosopher &amp; poet) h/t Abe Burns",The Venice Commission has issued a strong rebuke against Hungary's anti-NGO law. https://t.co/mAOYIaRkP9,"Albert Einstein getting some sun in Palm Springs, 1932. https://t.co/Wh7C9FRIDr",,KRUMPUS EVE https://t.co/dyB5hjJc5R,Should I drop my collab with @chrislake this week ? https://t.co/CMlVczrqqn,RT @NASAGroundSys: Turnaround ops went well last night and team is in good shape in preps for tanking. Starting Air to GN2 switchover. Miss…,
287,RT @nxthompson: Wow. Inside an American C17 leaving Afghanistan. https://t.co/mEQiW9E4dB https://t.co/7yEq1cnY71,A scholarship served as an inspiration for one lawyer and academic to help bolster legal aid for Palestinians. https://t.co/C7bQHkhoyN,"RT @historydefined: This was the original ""distracted boyfriend meme"" but back then, it was the distracted girlfriend, 1950. https://t.co/t…",,LOVE https://t.co/0dRMEEgo61,@AlmondRizzo Yes yes ok thank u.  needed to see this,RT @CNBCnow: Twitter shares soar more than 25% after filing says Elon Musk has taken a 9% stake in the social media company https://t.co/Wk…,
288,Two refugee relief organizations I recommend checking out: https://t.co/3fIalFON3b and https://t.co/UowIsKPt0x. And… https://t.co/lUJm4E7kXj,"Thanks to a series of rulings from Mexico's Supreme Court, the country is finally rethinking how it regulates marij… https://t.co/nh0HpcQped","This 9000-year-old stone mask is the oldest mask in the world, and was found in the Judean Desert in Israel https://t.co/gXgFFMiSYl",,🚀🚀🚀 a look at the future 🚀🚀🚀 https://t.co/grKSdd3utu,@PythagoreanGirl This painting reminds me u can’t go full elf with bangs 🧚🏻‍♀️🧚🏻‍♀️🧚🏻‍♀️ beautiful work btw,"NASA is postponing the SLS wet dress rehearsal for Artemis I, saying the scrub is ""due to loss of ability to pressu… https://t.co/WCFfspXiDI",
289,RT @paulcoxon: Published 109 years ago https://t.co/AMZCwALC0m,The right to express oneself peacefully lies at the heart of every democracy. https://t.co/RR75Tw1ZY0,Wilhelm Hippert showing off the high-altitude oxygen apparatus used by German pilots during World War I circa 1917. https://t.co/D1EHtPvKFd,,tbt a few days ago when I said NFTs would of course be part of politics… 🤷 https://t.co/6oNWwMV7Lq,@bellapaniccia What kinda bangs - I might do bangs but refrain from dying,"RT @NASAGroundSys: (1/2) The launch team is continuing to monitor severe weather in the area surrounding LC 39B. This afternoon, one of the…",
290,"Design twitter, what are alternatives to Wacom tablets? My Intuos is dropping in performance.",A new survey of EU countries shows that racial disparities in policing and justice are all too common. https://t.co/Mu6Bxtm4hM,RT @historydefined: Eiffel Tower during construction. 1887-1889. https://t.co/fT4wKG1Vzz,,@elonmusk hahahahhaha 👌,"@cherry_yayo Ur right ur right ok , stepping away from the box dye and scissors",@wapodavenport Anyone have a screenshot?,
291,@sferik Timeless!,The Open Society Foundation for South Africa is celebrating 25 years of supporting the country's democracy and civi… https://t.co/HxtxXxZs2s,"A photograph of the oldest house in Hamburg, Germany, 1898. Built in 1524, it was demolished on December 8th, 1910… https://t.co/LBhGEwTDCO",,QUIET WORK https://t.co/JSIaFGD9xa,"PleSe please please stop be from dying my hair black and cutting bangs , please convince me bangs are a mistake rig… https://t.co/a1ZZVzDEWO",RT @relativityspace: We’re kicking off April with a fiery start! We recently completed our first successful Stage 2 60-second full duration…,
292,That was our third launch. Turns out you can keep launching until it works 😂 https://t.co/qGg6IUeWEA,A new report looks at how strategic litigation can succeed in strengthening human rights. https://t.co/ANf3j63nsm,The sad fates of Ivan the Terrible's many wives. https://t.co/1KO0nnLKBm,,HAHAHHAHAHAHA digital art explained. 😅😂😂 https://t.co/aWgTU5Z8I4,Her name is No One 🤍 @AlterEgoOnFOX https://t.co/nAsH1wXH0T,"RT @jeff_foust: After ISS partners refused to lift sanctions on Russian companies by Rogozin’s deadline of the end of March, his decision a…",
293,"Art is what you can get away with. 
- Andy Warhol",The Soros Foundation in Kyrgyzstan has helped the country transition from a Soviet republic to becoming a more open… https://t.co/sTNh8ivnsy,"Amazing colors and symmetry of Sri Ranganathswamy Temple, India https://t.co/WaufUfOjAl",,@CharityNav You provide a great service!!  Big fan!! 🙏🙏🙏,6 years since the record that changed my life!  Tanks yall 🍀🍀🍀🍀 https://t.co/9wZkwAncwt,RT @RocketLab: We have lift-off! Electron is in the air for our 25th mission. https://t.co/TharPK9ATP,
294,Work from anywhere 🌴 https://t.co/F7MdK9U0qG,"Parents across Eastern Europe and Central Asia are coming together to ensure every child can get quality education,… https://t.co/gx52TTdw4u","Propaganda shot of Benito Mussolini standing atop a tractor during his “Battle for Grain” campaign, 1937 https://t.co/qe6f6rNIQL",,ALTERNATE 1985 https://t.co/iJPCYHeNuD,@nusi_quero Fire Nusi,"RT @maxhaot: With an incredible team, partners, and a few design iterations - perseverance and focus won once again. We are steps away from…",
295,RT @Gen_Atomic: #MemeMonday #NuclearEnergy #NuclearPower #CleanEnergy #meme #memes #bestmemes https://t.co/PVcxA4QOf7,Government budgets can better help promote gender equality. https://t.co/K27eXXcJ2q,"Egyptian men watch as the Graf Zeppelin floats over the Great Pyramids of Giza, Egypt, while atop the Great Pyramid… https://t.co/y7fQPLh616",,"extremely honored to sit down with @joerogan yesterday!!!!  🙏🙏🙏

Full episode on Spotify!! let’s just say we cover… https://t.co/IsingMYQRy",@Fall_of_Civ_Pod Amazing episode,"RT @ChrisSembroski: @thesheetztweetz Welcome to life on Dragon. Can’t beat the views, and the engines got rhythm. 🎵",
296,"RT @boardroom: In 2014, high school sophomore Jayson Tatum attended Kevin Durant’s basketball camp and took a photo with one of his childho…",Chile recently became one of the latest countries to guarantee legal gender recognition on identity documents. https://t.co/qteGEpUYdP,RT @historydefined: A staged photo in Life Magazine mocking the Hays movie censorship Code. The model is violating as many of its rules as…,,WTFFFFFFFF 🤯🤯🤯 https://t.co/TTHxvw24r2,@OptimoPrincipi @alex_h_andersen Oh wow - that’s definitely a great idea too,"@XestyTV News doesn't wait for anyone, and certainly not an annual day of bad jokes!",
297,The success of an idea depends on the people around it as much as the ingenuity of the idea itself. https://t.co/p2Dqu7PHcO,Stop and search in England and Wales still shows racial biases despite recent reforms. https://t.co/th3fqU4HiL,"RT @historydefined: Archaeologists eating lunch in the tomb of Pharaoh Ramses XI, 1923. https://t.co/9i9z5I2Egh",,⚡️A TRUE LEGEND ⚡️ https://t.co/RoqBWB92B3,@SIavicBitch Love this!,@nextspaceflight heh I almost misspelled that exact word on purpose,
298,Good luck Tachlowini https://t.co/5AHme507pf,Open Society's work in Tajikistan ranges from promoting inclusive education for children with disabilities to suppo… https://t.co/Fyf9I31iXO,"Trees that were cut down at the Alder Creek site by members of the Donner Party, c.1866. The height of the stumps c… https://t.co/bROcC3V1zG",,EXP+1 https://t.co/QbOYESNWUa,"If Feyd Rautha is still not cast I highly recommend Margaret Qualley , def an amazing opportunity to make a sick gi… https://t.co/pIWqoURkP1","As a reporter, April Fools' Day is consistently the most frustrating day of the year https://t.co/MOt7LGLJ3Y",
299,"Once we had data to work with, it eventually informed us all the times our intuition was right (or not), and became… https://t.co/19ZGFD1px7","A new approach to young people involved in violent crimes could prevent youth violence, heal crime victims, and cou… https://t.co/GdNjhLG2an",Why was the Oracle of Delphi so important? https://t.co/UtJdKA7utr,,✨LEGEND✨ https://t.co/M2Lo0MvvZB,"@jnptzl @proofofhumanity What is this? Interesting words you say, will research now !","Suffredini: Axiom aims to conduct its first mission with 4 paying passengers (i.e., no company employee) by Ax-4.",
300,"When we first initiated our idea, we couldn’t rely on past data to tell us if it was going to work. In its place wa… https://t.co/2um6izsRzq",New technology holds the promise of protecting migrant workers' rights-if used properly. https://t.co/HKSuy5KOuZ,"A man takes a selfie using a stick of wood to activate the camera, 1957 https://t.co/ZmsYFCr1BK",,DICK MEASURING CONTEST https://t.co/a8ahkdXNow,RT @towiikun: @Grimezsz C look at my miss A!!!! ily 🧚 https://t.co/5FjFwvneL5,"Suffredini: Ax-1 currently has four launch date opportunities, from April 6-9, in case NASA's wet dress rehearsal o… https://t.co/yIQny0iIVz",
301,"Back to the early stage during the first year of Airbnb (then AirBed&amp;Breakfast), our results data unapologetically… https://t.co/rBmjSRvayc",The Soros Foundation-Kazakhstan works to ensure public finance transparency and accountability and to advance the r… https://t.co/GJ8suKH5yM,"US Vice-President Richard Nixon (left) reviews honor guard in Kabul, Afghanistan, 1950s https://t.co/KCdtd6a55e",,"politicians will fundraise through DAO's which will basically be an ""advisory"" committee that has some level of acc… https://t.co/JNP1sjX8Ot",@towiikun Wowwww this looks amazing,"Connor: As an Ohioan, I'm taking a piece of cloth from the Wright Brother's 1903 Kitty Hawk flyer to space.",
302,"And we also 100% wouldn’t have built the business to current scale without world class DS, Eng, ML, FP&amp;A and other… https://t.co/XDQyqRrbty",The fight for trans rights in the U.S. continues as the current administration signals that discrimination is accep… https://t.co/Ee22yZo4kS,Mobsters hide their faces at Al Capone's trial in 1931. https://t.co/NzogHOU58Y,,"@Artistic_Kanji_ has nothing to do with art, NFTs are a more broad technology than that.  they will be used to buil… https://t.co/JjcZ2jcBuM",@ContraPoints Bloodborne !,"Suffredini: Ax-1 crew will ""primarily"" operate in the US segment of the ISS, but by invitation will visit the Russian segment.",
303,My reflection is about when we started. Our company would *100%* never have started if it were based on previous da… https://t.co/Vd3kFVfp9m,A new report looks at how well different systems prosecute mass atrocities. https://t.co/fw8e1IqmjM,Eiffel Tower during construction. 1887-1889. https://t.co/fT4wKG1Vzz,,"if you think NFTs will not affect politics, you are wrong. it is just a new tool for bringing people together, it c… https://t.co/9adaQw12QQ","(3,3)","Connor: ""I think it's important to address the difference between space tourists and private astronauts. Space tour… https://t.co/fXtjxsigdw",
304,"Setting data driven goals over the years helped us focus, grow, and get smarter about managing our business. We wou… https://t.co/ncjhBaTIlV",RT @AlexanderSoros: Thank you to Austrian Chancellor @sebastiankurz for receiving my father and me in Vienna. We discussed the future of th…,A 17th-century ottoman three-mast tent made of silk and gilded leather. Now on display at the Turkish Chamber in th… https://t.co/PZQ6tfhK1r,,.@BarackObama  wen NFT?  as a community builder I think you could do AMAZING things with this technology that is pe… https://t.co/jCHt5VvqFx,Why be Microsoft when u can be Macrohard? https://t.co/sTofIJPez8,"López-Alegría: We are taking the first step in a next generation platform initiative that's going to bring working,… https://t.co/t1qEECO4TC",
305,I love data and data scientists. Data tells the story of results. Absolutely necessary in order to know if decision… https://t.co/PDPsBjKlat,Europe today faces immense problems. Much like the dedication that came after a divided Berlin and Germany reunited… https://t.co/mSpYSzWPSf,"This 13,000-year-old swimming reindeer sculpture was carved from a mammoth tusk https://t.co/CA6qe5eyOU",,@ctownvin 🤔🤔🤔 https://t.co/wiAXol5DFY,@holland_tom Persian fire by Tom Holland is a winner for sure !,"The Ax-1 crew, who are currently in quarantine in preparation for the launch: https://t.co/ySgvC3yU7K",
306,Data is the past. The past doesn't predict the future.,A European court has ruled in favor of a Muslim woman's right to wear a headscarf on the basis of religious freedom. https://t.co/Mfb0kouQXx,"Massive Roman aqueduct built in Segovia, Spain by emperor Trajan (r. 98-117 CE). https://t.co/WLmwGcJJHq",,"@NoCreativeAbode I know it can be frustrating but have patience with people, they have not been living it for years… https://t.co/SH218dTK0w",taught myself to stop checking if other ppl think I’m socially acceptable a long time ago.  Worrying about being cr… https://t.co/ZLNPlUQUIs,"Axiom is hosting an Ax-1 pre-launch press conference, with:

CEO Michael Suffredini
Ax-2 commander Peggy Whitson
Ax… https://t.co/ux17i2t9gx",
307,"Flexible search feature just launched a few months ago 😳. 
What would you like to see to make it even better? https://t.co/B10Nc53jqv","Scholarly research literature, much of which is taxpayer-funded, should be freely available to the public. Open acc… https://t.co/mmvdhHzAwR","Canaanite Gold pendant, Palestine, 1550-1425 BC. From The Louvre, Paris. https://t.co/bfuIuYXOd1",,@gellobytes 🤓🗣👨🏼‍🦲🧏‍♂️🚀,"@PicklePunchD This whole thing is so funny I think my publicist is stressed, I should probably stop impulsively doi… https://t.co/7qrw0Hsr6Q","Falcon 9's first stage lands on the company's droneship, the 7th launch and landing for this booster: https://t.co/8xnOBHcHza",
308,Proud of our alums fueling the same start up ecosystem that took a chance on @airbnb in the first place. https://t.co/lIzmDPgb2r,"In some countries, civil society is taking an illiberal bent with reactionary forces using its methods to weaken ri… https://t.co/KTEUaX7E2K","This was the original ""distracted boyfriend meme"" but back then, it was the distracted girlfriend, 1950. https://t.co/tdjlnJoIxc",,"bruh. yer telling me… 😱😱😱

But i think we got one lil’ bump left coming for the space this week… 😏 https://t.co/tmrdkQUhOv",paparazzi followed me 2 a shoot so I tried 2 think what I could do that would yield the most onion-ish possible hea… https://t.co/bXKrjIo7Yg,"Fairing separation, revealing the Transporter-4 payloads: https://t.co/iwueAjIEdi",
309,Zoom from anywhere  https://t.co/NBF5WJj0Im,U.S. diplomats should reflect the diversity of the country they represent. https://t.co/454mZmylrq,"The Pyramid of Cestius is a Roman Era pyramid in Rome, Italy, built as a tomb between 18-12 BCE for Gaius Cestius,… https://t.co/PlOOjxfUMO",,"Honored to be on @CoinDesk’s end of year list!! 🙏🙏🙏

While we’ve come a long way this year there is still so much t… https://t.co/Nnaf9Yz1gN",@ashnikko 🤍,Main engine shutdown and first stage separation: https://t.co/BFvBibwQEb,
310,What's your favorite example of a company that started because the founders solved their own problem?,The Global Gag Rule has dangerous consequences for health worldwide. https://t.co/7QW1dmrFFl,"A photo of Freddie Mercury, 1958. https://t.co/AYs4KVGH0C",,@MantaNFT HAHAHAHAHAH,@Liv_Boeree Argument for modern human brain rly only being ~10k years old - meaning we are way younger,Liftoff for SpaceX's Transporter-4 rideshare mission: https://t.co/19WiFOwNor,
311,RT @paulg: The obvious surprise here is the shift to remote-first: from 6% to 42% in just one year. The less obvious surprise is that SF ha…,India's decriminalization of homosexuality offers many lessons for those in other countries advocating for greater… https://t.co/bQIF1FGe0j,"Grid Excavation at Maiden Castle (UK) by Sir Mortimer Wheeler, 1937 https://t.co/3x9O7FRkOx",,ORGANIC GROWTH https://t.co/5WiveYl7SK,My collaborator @Liv_Boeree made this rly interesting art/ doc on the game theory of beauty - rly worth checking ou… https://t.co/2ZZ1xB3BEA,"SpaceX is about 10 minutes away from attempting to launch the Transporter-4 rideshare mission, carrying a variety o… https://t.co/CQfHCBB3Hv",
312,RT @RefugeesOlympic: An eventful and emotional day for the IOC Refugee Olympic Team on Day 1 of #Tokyo2020! With many making their Olympic…,The new Moving Walls photo exhibition explores and redefines the stories of refugee and immigration experiences.… https://t.co/M9TusCv5Ff,Albert's Pyramid: Queen Victoria had a 35' (10.6m) pyramidal memorial cairn to her beloved Albert built after his d… https://t.co/HdDkE8nOvy,,and even more insane how much further we have to go. 🚀🚀🚀,This photo is amazing https://t.co/o2O3QOAB9m,Sound on to hear the SpaceX Draco engines firing: https://t.co/7lHWwyVz45,
313,@justinkan @paulg Meeting you,"Remembering John McCain, a brave warrior for human rights who stood up against repression and torture.",Medieval ax with a preserved wooden handle discovered on the island of Ledniczka in Poland https://t.co/nAJpQZwELP,,ONE YEAR AGO TODAY i recorded this video hours before the historic 2020 collection drop (this is what set up Christ… https://t.co/EJRcY0enhs,@daoudaleonard @angelfir_e @bros_samurai Oooomg u guys,"SpaceX's Crew Dragon Endeavour on its way for Axiom's Ax-1, the spacecraft's third mission to date: https://t.co/1WnRufVguL",
314,Legendary hosts https://t.co/iKZqx80TAC,Duterte's violent crackdown on drugs in the Philippines is not a model to follow. Sri Lanka is unfortunately doing… https://t.co/1fNMkMPu55,"Hunt for pilot whales at Torshavn, Faroe Islands
Photo: Bjarne Stoklund, 1961 https://t.co/958ES0nQNp",,ACRETION https://t.co/uRQK6ECGzW,@fewocious 🤍🤍🤍🍬🍬🍬,"Redwire $RDW full year 2021 results:

Revenue: $137.6 million

Adj. EBITDA: $1.3 million

Backlog: $271.6 million
https://t.co/AAHvSzC1dQ",
315,"Today, Airbnb announced Refugee Athlete Experiences, including Olympic swimmer @YusraMardini, as part of Olympian a… https://t.co/Nv1A5Ntbk9",An effective government that is responsive to its people requires accountability. How one organization works with y… https://t.co/bVtRpgPIPL,"Badge of the Order of Santiago, made of gold, emeralds, and diamonds. Spain, 1670-1679 https://t.co/A6OI27ocgO",,great article on dynamic art!!  this is an inevitable evolution of art so discussions like this are very much welco… https://t.co/0PpUEAw1ZV,@angelfir_e All of us in the gc today,"ULA CEO @torybruno tells @offnom that the company has sold 35 Vulcan rocket launches so far.
https://t.co/1SBlAGzOgg",
316,RT @RefugeesOlympic: Statement on our athletes and their impending arrival in Tokyo...https://t.co/4hmTcZIprs #Tokyo2020,International justice is a vital tool to ensure human rights are upheld. A newly-relaunched website is making inter… https://t.co/CXF3PWBqgB,"Archaeologists eating lunch in the tomb of Pharaoh Ramses XI, 1923. https://t.co/9i9z5I2Egh",,👀👀👀 https://t.co/AZ7Yv6B10A,@abra Lmaoooo,"AST SpaceMobile $ASTS Q4 results:

Revenue: $6.2 million

Total operating expenses: $31.3 million

Cash: $324.5 mil… https://t.co/SshquUjpzP",
317,Let’s go https://t.co/R71L7puN6r,"Legal identity is a cornerstone to accessing rights. Rohingya babies are being born without legal recognition, addi… https://t.co/404a8I4nug","The future Queen Elizabeth II, photographed at 18 at Windsor Castle, Berkshire, England, 1944. https://t.co/qZE7PQXpV7",,✨DREEZUS HAS RISEN ✨ https://t.co/eZq9L7h3J2,@muratpak Wow,"Planet Labs $PL Q4 results:

Revenue: $37.1 million

Adj. EBITDA: -$16.7 million

Cash: $490.8 million
https://t.co/XEJk2nEj7A",
318,"As office life beckons again, the pandemic's digital nomads weigh benefits of a return https://t.co/im7ergHIPQ via @nbcnews",The world has lost a great man in Kofi Annan. I will miss him.,"Cologne Cathedral photographed in c. 1945 amidst the ruins of the city of Cologne, Germany damaged by Allied bombin… https://t.co/zk0sDXEMrJ",,huge congrats to @2Yeahyeah @CozomoMedici  and of course @XCOPYART 🚀🚀🚀,@SpaceX @inspiration4x PHEW,"Astra $ASTR Q4 results

Adj. EBITDA: -$36.1 million

Backlog: $160 million

Cash: $325 million
https://t.co/obopFgyVnC",
